Codice_Regione,Codice_Comune,Comune,Popolazione_Legale,Superficie(Kmq),Regione
1,1001,Agliè,2562,13.1463,Piemonte
1,1002,Airasca,3660,15.7393,Piemonte
1,1003,Ala di Stura,467,46.3316,Piemonte
1,1004,Albiano d'Ivrea,1637,11.7397,Piemonte
1,1006,Almese,6331,17.8741,Piemonte
1,1007,Alpette,240,5.6311,Piemonte
1,1008,Alpignano,16501,11.9193,Piemonte
1,1009,Andezeno,2036,7.4859,Piemonte
1,1010,Andrate,474,9.309,Piemonte
1,1011,Angrogna,827,38.8781,Piemonte
1,1012,Arignano,1072,8.1666,Piemonte
1,1013,Avigliana,12350,23.2173,Piemonte
1,1014,Azeglio,1240,9.9528,Piemonte
1,1015,Bairo,790,7.0859,Piemonte
1,1016,Balangero,3064,13.0065,Piemonte
1,1017,Baldissero Canavese,530,4.5064,Piemonte
1,1018,Baldissero Torinese,3755,15.4046,Piemonte
1,1019,Balme,105,62.7105,Piemonte
1,1020,Banchette,3085,2.0289,Piemonte
1,1021,Barbania,1570,12.8027,Piemonte
1,1022,Bardonecchia,3044,132.203,Piemonte
1,1023,Barone Canavese,556,3.9864,Piemonte
1,1024,Beinasco,17464,6.7366,Piemonte
1,1025,Bibiana,3378,18.5987,Piemonte
1,1026,Bobbio Pellice,539,94.082,Piemonte
1,1027,Bollengo,2098,14.2237,Piemonte
1,1028,Borgaro Torinese,11827,11.1093,Piemonte
1,1029,Borgiallo,582,6.9647,Piemonte
1,1030,Borgofranco d'Ivrea,3555,13.419,Piemonte
1,1031,Borgomasino,773,12.3713,Piemonte
1,1032,Borgone Susa,2151,4.9616,Piemonte
1,1033,Bosconero,3066,10.9191,Piemonte
1,1034,Brandizzo,8701,6.39,Piemonte
1,1035,Bricherasio,4616,22.7583,Piemonte
1,1036,Brosso,394,11.135,Piemonte
1,1037,Brozolo,454,8.9471,Piemonte
1,1038,Bruino,8489,5.5702,Piemonte
1,1039,Brusasco,1490,14.3591,Piemonte
1,1040,Bruzolo,1492,12.5597,Piemonte
1,1041,Buriasco,1337,14.6868,Piemonte
1,1042,Burolo,1105,5.476,Piemonte
1,1043,Busano,1622,5.0591,Piemonte
1,1044,Bussoleno,5652,37.0661,Piemonte
1,1045,Buttigliera Alta,6304,8.0973,Piemonte
1,1046,Cafasse,3310,10.2313,Piemonte
1,1047,Caluso,7388,39.4924,Piemonte
1,1048,Cambiano,5900,14.1313,Piemonte
1,1049,Campiglione Fenile,1330,11.0864,Piemonte
1,1050,Candia Canavese,1209,9.1318,Piemonte
1,1051,Candiolo,5610,11.8499,Piemonte
1,1052,Canischio,286,11.9504,Piemonte
1,1053,Cantalupa,2602,11.1953,Piemonte
1,1054,Cantoira,596,23.0319,Piemonte
1,1055,Caprie,2060,16.4077,Piemonte
1,1056,Caravino,901,11.537,Piemonte
1,1057,Carema,739,10.2591,Piemonte
1,1058,Carignano,9052,50.6791,Piemonte
1,1059,Carmagnola,28313,95.7163,Piemonte
1,1060,Casalborgone,1855,20.1238,Piemonte
1,1061,Cascinette d'Ivrea,1524,2.1726,Piemonte
1,1062,Caselette,3034,14.3141,Piemonte
1,1063,Caselle Torinese,13834,23.5512,Piemonte
1,1064,Castagneto Po,1763,11.5245,Piemonte
1,1065,Castagnole Piemonte,2179,17.2795,Piemonte
1,1066,Castellamonte,9695,38.7063,Piemonte
1,1067,Castelnuovo Nigra,401,28.3756,Piemonte
1,1068,Castiglione Torinese,6469,14.1346,Piemonte
1,1069,Cavagnolo,2226,12.3286,Piemonte
1,1070,Cavour,5374,48.9599,Piemonte
1,1071,Cercenasco,1782,13.1596,Piemonte
1,1072,Ceres,1017,28.0516,Piemonte
1,1073,Ceresole Reale,159,99.8164,Piemonte
1,1074,Cesana Torinese,913,121.7006,Piemonte
1,1075,Chialamberto,344,35.4479,Piemonte
1,1076,Chianocco,1552,18.6132,Piemonte
1,1077,Chiaverano,1985,12.0224,Piemonte
1,1078,Chieri,35916,54.1967,Piemonte
1,1079,Chiesanuova,231,4.1187,Piemonte
1,1080,Chiomonte,870,26.755,Piemonte
1,1081,Chiusa di San Michele,1556,5.9167,Piemonte
1,1082,Chivasso,26275,51.2027,Piemonte
1,1083,Ciconio,364,3.1638,Piemonte
1,1084,Cintano,240,4.9344,Piemonte
1,1085,Cinzano,323,6.1965,Piemonte
1,1086,Ciriè,18212,17.7329,Piemonte
1,1087,Claviere,204,2.6871,Piemonte
1,1088,Coassolo Torinese,1444,27.8788,Piemonte
1,1089,Coazze,3218,56.5724,Piemonte
1,1090,Collegno,48574,18.1075,Piemonte
1,1091,Colleretto Castelnuovo,312,6.3321,Piemonte
1,1092,Colleretto Giacosa,596,4.5895,Piemonte
1,1093,Condove,4437,71.1129,Piemonte
1,1094,Corio,3048,41.4917,Piemonte
1,1095,Cossano Canavese,440,3.2387,Piemonte
1,1096,Cuceglio,930,6.8709,Piemonte
1,1097,Cumiana,7821,60.7335,Piemonte
1,1098,Cuorgnè,9411,19.3083,Piemonte
1,1099,Druento,8973,27.5394,Piemonte
1,1100,Exilles,241,46.5473,Piemonte
1,1101,Favria,5115,14.8499,Piemonte
1,1102,Feletto,2190,7.8931,Piemonte
1,1103,Fenestrelle,481,49.4091,Piemonte
1,1104,Fiano,2679,12.0396,Piemonte
1,1105,Fiorano Canavese,735,4.3457,Piemonte
1,1106,Foglizzo,2265,15.6429,Piemonte
1,1107,Forno Canavese,3230,16.5002,Piemonte
1,1108,Frassinetto,279,24.8186,Piemonte
1,1109,Front,1613,10.9482,Piemonte
1,1110,Frossasco,2799,20.1488,Piemonte
1,1111,Garzigliana,530,7.4018,Piemonte
1,1112,Gassino Torinese,9361,20.5108,Piemonte
1,1113,Germagnano,1120,14.4442,Piemonte
1,1114,Giaglione,592,33.383,Piemonte
1,1115,Giaveno,16214,71.7379,Piemonte
1,1116,Givoletto,4095,12.8199,Piemonte
1,1117,Gravere,666,18.9872,Piemonte
1,1118,Groscavallo,191,92.0935,Piemonte
1,1119,Grosso,987,4.3296,Piemonte
1,1120,Grugliasco,37090,13.1375,Piemonte
1,1121,Ingria,42,14.7505,Piemonte
1,1122,Inverso Pinasca,697,8.0293,Piemonte
1,1123,Isolabella,375,4.7718,Piemonte
1,1124,Issiglio,409,5.5042,Piemonte
1,1125,Ivrea,22604,30.1076,Piemonte
1,1126,La Cassa,1773,12.0354,Piemonte
1,1127,La Loggia,8779,12.7929,Piemonte
1,1128,Lanzo Torinese,4893,10.2876,Piemonte
1,1129,Lauriano,1401,14.2901,Piemonte
1,1130,Leini,16321,31.9192,Piemonte
1,1131,Lemie,185,45.6752,Piemonte
1,1132,Lessolo,1777,7.9365,Piemonte
1,1133,Levone,443,5.3912,Piemonte
1,1134,Locana,1339,132.5175,Piemonte
1,1135,Lombardore,1670,12.7157,Piemonte
1,1136,Lombriasco,1090,7.2095,Piemonte
1,1137,Loranzè,1149,4.1914,Piemonte
1,1139,Luserna San Giovanni,7162,17.7414,Piemonte
1,1140,Lusernetta,480,7.0398,Piemonte
1,1141,Lusigliè,541,5.2585,Piemonte
1,1142,Macello,1155,14.1404,Piemonte
1,1143,Maglione,419,6.3132,Piemonte
1,1144,Marentino,1300,11.2599,Piemonte
1,1145,Massello,57,38.2587,Piemonte
1,1146,Mathi,3777,7.0703,Piemonte
1,1147,Mattie,658,28.6942,Piemonte
1,1148,Mazzè,4181,27.3281,Piemonte
1,1149,Meana di Susa,805,16.5438,Piemonte
1,1150,Mercenasco,1291,12.6384,Piemonte
1,1152,Mezzenile,736,29.0872,Piemonte
1,1153,Mombello di Torino,387,4.0825,Piemonte
1,1154,Mompantero,642,30.3331,Piemonte
1,1155,Monastero di Lanzo,328,17.6554,Piemonte
1,1156,Moncalieri,56193,47.5444,Piemonte
1,1157,Moncenisio,41,4.5006,Piemonte
1,1158,Montaldo Torinese,736,4.6568,Piemonte
1,1159,Montalenghe,970,6.4681,Piemonte
1,1160,Montalto Dora,3304,7.3567,Piemonte
1,1161,Montanaro,5118,20.9036,Piemonte
1,1162,Monteu da Po,858,7.3897,Piemonte
1,1163,Moriondo Torinese,853,6.4898,Piemonte
1,1164,Nichelino,46458,20.6222,Piemonte
1,1165,Noasca,107,78.0484,Piemonte
1,1166,Nole,6803,11.353,Piemonte
1,1167,Nomaglio,283,3.0743,Piemonte
