Comune,Regione,Media Incidenti,Media Feriti,Media Morti,Media Superficie(Kmq),Media Popolazione,Incidenti_Pro_Capite_1000,Lesività_Pro_Capite_1000,Densità_Incidenti_Kmq
Abano Terme,Veneto,53.0,64.18181818181819,0.8181818181818182,21.4081,19982.0,2.65238714843359,3.2529276348713845,2.47569845058646
Abbadia Cerreto,Lombardia,0.0,0.0,0.0,6.1986,283.8,0.0,0.0,0.0
Abbadia Lariana,Lombardia,27.818181818181817,39.18181818181818,0.36363636363636365,16.6448,3199.5454545454545,8.694416820571105,12.35971018610598,1.6712836332176906
Abbadia San Salvatore,Toscana,8.636363636363637,13.0,0.18181818181818182,58.9933,6227.545454545455,1.3868005780768724,2.1166956191699633,0.14639566927708125
Abbasanta,Sardegna,3.8181818181818183,5.181818181818182,0.18181818181818182,39.84682727272727,2632.2727272727275,1.4505266793299947,2.037644620963564,0.09582147637624168
Abbateggio,Abruzzo,0.45454545454545453,0.8181818181818182,0.0,15.4014,370.72727272727275,1.2260912211868562,2.2069641981363413,0.02951325558361282
Abbiategrasso,Lombardia,97.54545454545455,124.9090909090909,0.8181818181818182,47.77763636363636,32467.727272727272,3.004381973708158,3.8723767657394053,2.0416550915795524
Abetone,Toscana,2.3333333333333335,3.6666666666666665,0.0,30.996799999999997,614.3333333333334,3.7981551817688555,5.968529571351058,0.07527658769077239
Abetone Cutigliano,Toscana,3.875,5.5,0.0,74.9918,1932.875,2.0047856172799587,2.8455021664618765,0.05167231617323494
Abriola,Basilicata,0.2,0.4,0.0,97.1894,1393.1,0.1435647117938411,0.2871294235876822,0.0020578375831109153
Acate,Sicilia,8.909090909090908,15.636363636363637,0.5454545454545454,102.46832727272727,10648.90909090909,0.8366200549778894,1.5195752018986157,0.08694482623278005
Accadia,Puglia,0.5454545454545454,1.0,0.0,30.73586363636364,2267.0,0.24060632794642495,0.44111160123511245,0.017746517615637045
Acceglio,Piemonte,0.0,0.0,0.0,151.52766000000003,160.2,0.0,0.0,0.0
Accettura,Basilicata,0.9,1.6,0.0,90.36677,1741.3,0.5168552231091713,0.9188537299718602,0.00995941317809633
Acciano,Abruzzo,0.2,0.4,0.0,32.2232,304.5,0.6568144499178982,1.3136288998357963,0.006206708210233621
Accumoli,Lazio,1.0,1.4,0.3,87.34297000000001,588.4,1.699524133242692,2.8891910265125764,0.011449118343468283
Acerenza,Basilicata,2.3636363636363638,3.8181818181818183,0.18181818181818182,77.6422,2243.4545454545455,1.0535699813599158,1.7829645838398573,0.03044267632339583
Acerno,Campania,0.5454545454545454,0.8181818181818182,0.0,72.4968,2622.7272727272725,0.20797227036395147,0.31195840554592724,0.007523843058652871
Acerra,Campania,70.81818181818181,106.81818181818181,2.727272727272727,54.7117,58893.818181818184,1.2024722458909098,1.8600501364551303,1.2943882536675302
Aci Bonaccorsi,Sicilia,2.1818181818181817,3.272727272727273,0.09090909090909091,1.7242,3524.3636363636365,0.6190672719768882,0.954395377631036,1.265408990730879
Aci Castello,Sicilia,52.81818181818182,75.63636363636364,1.6363636363636365,8.7234,17940.545454545456,2.944067779433077,4.3071559595836755,6.054770137581886
Aci Catena,Sicilia,24.818181818181817,33.09090909090909,0.6363636363636364,8.516772727272727,28190.090909090908,0.8803867251871225,1.196422985510705,2.9140359397765905
Aci Sant'Antonio,Sicilia,34.54545454545455,49.36363636363637,0.2727272727272727,14.333336363636363,17917.18181818182,1.9280629563293739,2.7703220372522055,2.4101474819984183
Acireale,Sicilia,170.63636363636363,242.0,2.272727272727273,40.44453636363637,51311.27272727273,3.325514152481113,4.760605502246538,4.219021380346013
Acquacanina,Marche,0.0,0.0,0.0,26.8109,120.33333333333333,0.0,0.0,0.0
Acquafondata,Lazio,0.2,0.3,0.0,25.3174,263.2,0.7598784194528876,1.1398176291793312,0.007899705340990782
Acquaformosa,Calabria,0.0,0.0,0.0,22.7052,1058.5,0.0,0.0,0.0
Acquafredda,Lombardia,2.3636363636363638,3.6363636363636362,0.09090909090909091,9.5463,1549.8181818181818,1.5251055842327548,2.4049741905208823,0.24759711758863262
