Regione,Incidenti,Feriti,Morti,Superficie(Kmq),Popolazione_Residente,Avg_Parco_Auto,Veicoli_Per_Kmq,Motorizzazione_Pro_Capite_1000,Rapporto Incidenti/Veicoli
Abruzzo,33053,48021,816,116430.726,14160897.0,893945,7.677913130937619,63.12771005960992,36.974310500086695
Basilicata,9991,15902,392,108711.6441,6020680.0,379194,3.4880716149522386,62.981922307779186,26.34799073825008
Calabria,30313,49136,1068,164188.17,20666810.0,1314156,8.00396277027754,63.587752536554994,23.066515695244703
Campania,104813,153975,2456,147902.5204,62483775.0,3564483,24.100218105546226,57.046537281078166,29.404825328105087
Emilia-Romagna,180141,239421,3373,246342.7248,48878657.0,2937312,11.923680727266195,60.09395880087295,61.32852077001013
Friuli-Venezia Giulia,35443,46598,787,85687.8118,13230772.0,805868,9.40469809032981,60.908615158661945,43.98114827738538
Lazio,210098,284745,3630,187906.8295,63115265.0,3844941,20.461954524116965,60.919351285303165,54.64271103249699
Liguria,86349,107423,777,58560.0068,16801180.0,841684,14.373017456685131,50.09671939708996,102.59075852695311
Lombardia,330246,444935,4540,259514.593,109660498.0,6213575,23.943065891481485,56.661925792093335,53.14911303074317
Marche,55293,76907,980,102518.2981,16586484.0,1036133,10.106810386076825,62.46851351980323,53.36477073889163
Molise,5198,7931,218,47447.6248,3251830.0,213934,4.508845298405749,65.7888019976444,24.29721315919863
Piemonte,113355,161395,2484,272609.7523,47215352.0,2933994,10.76261569971721,62.14067831157968,38.635048333432174
Puglia,104541,168233,2423,214295.2711,43573249.0,2412777,11.259123860339818,55.37289633830151,43.32808212279875
Sardegna,36025,51563,1050,250714.36,17045185.0,1078124,4.300208412473861,63.250941541555584,33.41452374680463
Sicilia,116735,172649,2347,281344.7185,53684849.0,3376374,12.000843726519074,62.89249318741681,34.5740726590123
Toscana,165635,216351,2420,252007.9305,40613479.0,2590063,10.277704335975253,63.7734826903157,63.95018190677215
Trentino-Alto Adige/Südtirol,32276,42975,713,148631.2657,11769621.0,1154091,7.764792922704689,98.05676835303363,27.966598821063503
Umbria,24657,34393,547,92532.9344,9545800.0,642251,6.940782805219241,67.28100316369502,38.39153228254997
Valle d'Aosta/Vallée d'Aoste,3056,4240,70,34707.3301,1364834.0,223025,6.425876014012383,163.40815073481463,13.70249971976236
Veneto,144766,195862,3345,201432.0044,53563743.0,3183465,15.804166817892222,59.43320652554098,45.474349490256685
